t_s,x_m,h_m,vx_mps,hdot_mps,path_speed_mps,ax_mps2,ah_mps2,accel_norm_mps2,jx_mps3,jh_mps3
0,0,-0,0,-0,0,12.4865244228393,0.667438037890589,12.5043498710084,0,-0
0.01375,0.00118026514839706,6.32014027029068e-05,0.171660214032932,0.00920848401310867,0.171907025044504,12.4801118138985,0.674209402749327,12.4983098539828,-0.926052981425268,0.973818395402937
0.0275,0.0047198551456723,0.00025407431885182,0.343145971062546,0.0186000475960712,0.343649704244066,12.4612397526844,0.693917540124514,12.4805455700612,-1.81244290353787,1.88207099769654
0.04125,0.0106152104821922,0.000576330846426463,0.514289673082254,0.028346440837303,0.515070275348126,12.430447082857,0.725675620538218,12.4516111321368,-2.66011624950095,2.72688923794354
0.055,0.0188605177047574,0.00103596173310996,0.684931042161736,0.0386074201290072,0.686018269002932,12.3882597316453,0.768625843162763,12.4120814074627,-3.47000531090146,3.51036410728293
0.06875,0.0294478088527806,0.00164107418960664,0.854916944183567,0.0495311435020779,0.856350579861304,12.3351909041095,0.821938882781195,12.3625449713178,-4.24302831445349,4.23454659430946
0.0825,0.0423670584891509,0.00240173508672446,1.02410121523899,0.0612545583979893,1.02593148893019,12.2717412756658,0.884813342747129,12.3035981968034,-4.98008954818008,4.90144812033222
0.09625,0.0576062783621861,0.00332981943279694,1.19234449065899,0.0739037819599605,1.19463264369965,12.198399182878,0.956475213914824,12.2358402841682,-5.68207948707355,5.51304097251199
0.11,0.0751516097347427,0.00443886402914798,1.35951403665687,0.0875944739252882,1.36233300177647,12.1156408125263,1.03617733951031,12.1598690690758,-6.34987491823433,6.0712587348776
0.12375,0.0949874134162313,0.0057439262024264,1.52548358455875,0.102432202200334,1.52891874303569,12.023930388958,1.1231988859144,12.0762774784213,-6.98433906548818,6.57799671722116
0.1375,0.117096357532957,0.00726144751375458,1.69013316759837,0.118512801199256,1.69428315468937,11.9237203597293,1.21684481932847,11.9856505259977,-7.58632171348207,7.03511238187222
0.15125,0.141459503071882,0.0090091223457479,1.85334896025268,0.135922723027172,1.85832649313967,11.8154515795435,1.31644538829371,11.8885627595979,-8.15665933125837,7.44442576835091
0.165,0.168056387232591,0.0110057712695684,2.01502312009503,0.154739381588036,2.02095582602187,11.6995534924941,1.42135561203491,11.7855760868782,-8.69617519530769,7.80771991589985
0.17875,0.196865104621912,0.0132712190952768,2.17505363214249,0.17503148969712,2.18208485744296,11.5764443126193,1.53095477459932,11.6772379202038,-9.20567951210003,8.12674128389513
0.1925,0.227862386325318,0.0158261775098442,2.33334415567431,0.196859389277583,2.34163373907325,11.4465312027754,1.64464592476172,11.5640795913011,-9.68596954009466,8.40320017013611
0.20625,0.261023676888957,0.0186921322082715,2.48980387349825,0.220275374720199,2.49952886944621,11.3102104518362,1.76185538166629,11.4466149953046,-10.1378297112282,8.63877112701422
0.22,0.296323209245774,0.0218912344243546,2.64434734364211,0.245324009484947,2.65570268355795,11.1678676502253,1.8820322461763,11.3253394310544,-10.5620317518815,8.83509337556056
0.23375,0.333734077618944,0.0254461967687067,2.79689435344725,0.272042436022727,2.81009343462851,11.019877863789,2.00464791790227,11.2007286105671,-10.9593348033247,8.99377121737254
0.2475,0.373228308435471,0.0293801932827269,2.94736977604154,0.300460679095084,2.96264496968595,10.8666058060162,2.12919561787968,11.0732378156772,-11.330485541641,9.11637444441938
0.26125,0.414776929282522,0.0337167636182704,3.0957034291691,0.330601942569428,3.11330650045896,10.7084060086138,2.25518991686677,10.9433011841242,-11.6762182971289,9.20443874672649
0.275,0.458350035938735,0.0384797212538393,3.24182993635405,0.362482899766821,3.26203237090999,10.5456229904427,2.38216626923352,10.8113311109607,-11.9972551731829,9.25946611793886
