t_s,x_m,h_m,vx_mps,hdot_mps,path_speed_mps,ax_mps2,ah_mps2,accel_norm_mps2,jx_mps3,jh_mps3
0,0,-7.78187967575731e-11,2.75583048160366e-11,1.03005275898504e-11,2.94204186401699e-11,12.4865244228393,0.667438037890589,12.5043498710084,0,-0
0.01375,0.00118025111618778,6.3094844963511e-05,0.171656143492786,0.00917760694940507,0.171901309093717,12.479227914972,0.667508493336184,12.4970675337254,-1.05339438529594,0.00955446962060303
0.0275,0.00471963317413684,0.000252392217978676,0.343113868757433,0.0183569567856932,0.343604576215342,12.4577711114221,0.66768231404249,12.4756507139735,-2.05987163876691,0.0150784882952653
0.04125,0.0106140995362645,0.000567924059180792,0.514182870678191,0.0275390979615274,0.514919825230491,12.4227912317783,0.667905860397183,12.4407331064813,-3.02057663239573,0.0168296003961163
0.055,0.0188570466122806,0.00100973184277418,0.68468149820311,0.0367243654884822,0.685665686032331,12.3749098731559,0.668128983441281,12.3929330954075,-3.93663687993614,0.0150580105230994
0.06875,0.0294394313836352,0.00157785701634718,0.85443654119858,0.0459124282533073,0.855669184909395,12.3147332478024,0.66830492467089,12.3328539453311,-4.80916269252931,0.0100066886525166
0.0825,0.0423498860192319,0.00227233215903662,1.02328302052868,0.0551023349560861,1.02476553777921,12.2428524185663,0.668390217280421,12.2610839987886,-5.63924733367996,0.00191147465641383
0.09625,0.057574829626924,0.00309317276205147,1.19106398135764,0.064292558700348,1.19279794633951,12.1598435322411,0.668344588838627,12.1781968787672,-6.42796717359179,-0.00899881780719235
0.11,0.0750985771849103,0.00404036961315548,1.35763028964613,0.0734810402547775,1.35961739715317,12.0662680507905,0.668130865388794,12.0847516948762,-7.17638184286256,-0.0225022980332485
0.12375,0.0949034456967477,0.00511388176697727,1.52284043181249,0.0826652300060427,1.5250824636769,11.9626729804652,0.66771487696446,11.981293252169,-7.88553438553851,-0.0383838956377566
0.1375,0.116969857613297,0.0063136300832847,1.68656031752979,0.0918421286221468,1.68905911123798,11.8495910988188,0.667065364511983,11.8683522617816,-8.55645141152837,-0.0564352585550257
0.15125,0.141276441564523,0.00763949131562554,1.84866308563001,0.101008326445588,1.85142050495893,11.7275411796339,0.666153888211337,11.7464455527103,-9.19014324837681,-0.0764546516640834
0.165,0.167800130443673,0.00909129273300155,2.00902891308657,0.110160041635492,2.01204682062594,11.5970282157641,0.664954737186452,11.6160762841734,-9.78760409239735,-0.098246856044246
0.17875,0.196516256885967,0.0106688072575051,2.1675448270468,0.119293157077768,2.17082505849341,11.4585436399034,0.663444840596482,11.4777341581031,-10.3498121591648,-0.121623068859849
0.1925,0.22739864618354,0.0123717491011094,2.32410451988561,0.128403256082212,2.32764886001417,11.3125655432905,0.661603680099317,11.3318956313922,-10.8777298333671,-0.146400803874134
0.20625,0.260419706677973,0.0141997698850613,2.47860816725234,0.137485656885367,2.48241832748214,11.1595588923565,0.659413203678715,11.1790241275864,-11.372303818017,-0.172403792592302
0.22,0.295550517671398,0.0161524552255863,2.63096224908236,0.146535445977834,2.63503984657242,10.9999757433262,0.656857740826384,11.019570247766,-11.8344652830222,-0.199461886033716
0.23375,0.33276091489672,0.0182293217698675,2.78107937354542,0.155547510274601,2.7854259117615,10.8342554547804,0.653923919070377,10.8539719804029,-12.2651300131167,-0.227410957133269
0.2475,0.372019573587171,0.0204298146665187,2.9288781039028,0.164516568146845,2.93349495460894,10.6628248981886,0.650600581841135,10.6826549100175,-12.6651985551498,-0.256092803771915
0.26125,0.41329408918498,0.0227533054550224,3.07428278824536,0.173437199333538,3.07917117488039,10.4860986664209,0.646878707666545,10.5060324244858,-13.0355563647358,-0.28535505243635
