t_s,x_m,h_m,vx_mps,hdot_mps,path_speed_mps,ax_mps2,ah_mps2,accel_norm_mps2,jx_mps3,jh_mps3
0,0.000624293789102631,3.33721586461234e-05,0.124852292396558,0.00667451231172095,0.125030572386417,12.4826493858524,0.667476685271612,12.5004824233108,-0.770806532498971,0.00735943226134834
0.01,0.00249684789526506,0.000133937124908879,0.249638592825217,0.0134323720069692,0.249999711290809,12.4725775620288,0.678120794394048,12.4909983128897,-1.42675234741394,0.70067508279411
0.02,0.00561665272142716,0.000302719094762207,0.374291684349469,0.0203294103269111,0.374843367151404,12.4560462574603,0.695390964367778,12.4754421549425,-2.06195415334418,1.35967079123484
0.03,0.00998205665023078,0.000541435563301175,0.498748003910914,0.0274302012153946,0.499501739079893,12.4332611573802,0.718949650032924,12.4540303358753,-2.67677428702323,1.98516258522397
0.04,0.0155907826577687,0.000852433022689955,0.622946027252335,0.0347959836671597,0.623917072493478,12.404424343444,0.748467398959682,12.4269846197512,-3.27157112200663,2.57795520041602
0.05,0.0224399485220773,0.0012386540154294,0.746826233079711,0.0424847420920995,0.748033672856151,12.3697343332384,0.783622738980877,12.39453073222,-3.84669909444892,3.13884216939403
0.06,0.0305260866752207,0.00170360498565873,0.870331067618031,0.050551285559293,0.871797912209497,12.3293861195331,0.824102066612657,12.3568971145968,-4.4025087288036,3.6686059102701
0.07,0.0398451637028913,0.00225132491733329,0.993404909558349,0.0590473259296758,0.99515822914453,12.2835712092759,0.869599536360189,12.314313826072,-4.93934666344586,4.16801781497196
0.08,0.0503925994954263,0.00288635474820917,1.1159940353935,0.0680215548861819,1.11806512286316,12.2324776623319,0.919816950905225,12.2670115750586,-5.45755567621828,4.6378383372157
0.09,0.0621632860541138,0.00361370754865315,1.23804658513995,0.0775197198701606,1.24047114192368,12.1762901299678,0.974463652172389,12.2152208632737,-5.95747470989924,5.07881708016459
0.1,0.0751516059566383,0.00443883945438487,1.35951252844318,0.0875846989328398,1.36233086821122,12.115189893082,1.03325641327106,12.1591712283774,-6.43943889759429,5.49169288377392
0.11,0.089351450485486,0.00536762134234523,1.48034363106418,0.0982565745105753,1.48360089662511,12.0493549001808,1.09591933130968,12.0990905729004,-6.90377958805035,5.87719391182205
0.12,0.104756237423111,0.00640631123897263,1.60049342174431,0.109572706132596,1.60423981093103,11.9789598051023,1.16218372107942,12.0352045688388,-7.35082437089275,6.23603773862742
0.13,0.121358928517631,0.00756152745025514,1.7199171594463,0.121567802069921,1.72420815618588,11.9041760044883,1.23178800960396,11.9677361287104,-7.78089710178514,6.56893143545175
0.14,0.139152046622803,0.00884022240301395,1.83857180096858,0.134273989934096,1.8434684081073,11.8251716750047,1.30447763155234,11.8969049350894,-8.19431792751224,6.8765716565893
0.15,0.158127692515998,0.0102496571869591,1.95641596893063,0.147720886234364,1.96198493972728,11.7421118103116,1.3800049255117,11.8229270216937,-8.59140331098548,7.1596447251422
